"Region","AvailabilityZone","VolumeType","Size","Iops","Throughput","VolumeId","Name","Device","IsRootVolume","PlatformDetails","InstanceId","State","InstanceState","InstanceType","Tags"
"us-west-2","us-west-2b","gp2","50","150",,"vol-055baf302ae869cc1",,"/dev/sda1","True","Windows","i-0276cd839fb54e044","in-use","stopped","t2.medium","="
"us-west-2","us-west-2b","gp2","30","100",,"vol-0bd686a6fb13e6cfe",,"/dev/sda1","True","Windows","i-00e014acdd419aa71","in-use","running","t2.small","="
"us-west-2","us-west-2b","io2","6","3000",,"vol-0f9827a09eefd3c08",,"/dev/sdf","False","Linux/UNIX","i-00fb3660cf238308c","in-use","running","i3.2xlarge","importance=low; owner=gso; team=fsa; env=sandbox; org=revenue; ext-facing=false; pure:cbs:stack-id=arn:aws:cloudformation:us-west-2:783764594660:stack/gso-cbs-aws/848560a0-f496-11ef-b272-064012eaee0d; service=demo; administrator=david_stamen; Product=Pure:CBS"
"us-west-2","us-west-2b","gp3","1024","3000","125","vol-071375e8b50c4b481",,"/dev/sdf","False","Windows","i-01998a41289cfdb3d","in-use","running","m7i.4xlarge","importance=low; administrator=david_stamen; owner=worldwide_sys_eng; service=demo; Name=gso-cvdemo-ma-disk1; ext-facing=false; org=revenue; env=dev; team=elob"
"us-west-2","us-west-2b","gp2","8","100",,"vol-0ad6f443457dd8834",,"/dev/xvda","True","Linux/UNIX","i-0533352bdae7ef7c5","in-use","running","t2.small","="
"us-west-2","us-west-2b","gp2","30","100",,"vol-066b4e323ccca2802",,"/dev/sda1","True","Windows","i-0e0817abafe751449","in-use","running","t2.small","="
"us-west-2","us-west-2b","gp2","8","100",,"vol-0fd78cc7b79e97b54",,"/dev/xvda","True","Linux/UNIX","i-0b731eb168356d28c","in-use","running","t2.small","="
"us-west-2","us-west-2b","gp2","40","120",,"vol-046f238ab97acfaf7",,,"False",,,"available",,,"="
"us-west-2","us-west-2b","gp3","30","3000","125","vol-0782e4a28ab1e46e5",,"/dev/sda1","True","Windows","i-05ba0533433a11bf1","in-use","running","t3.medium","="
"us-west-2","us-west-2b","io2","6","3000",,"vol-0620f6dd4d6a0568d",,"/dev/sdf","False","Linux/UNIX","i-0c5934fee7c388aa8","in-use","running","i3.2xlarge","ext-facing=false; pure:cbs:stack-id=arn:aws:cloudformation:us-west-2:783764594660:stack/gso-cbs-aws/848560a0-f496-11ef-b272-064012eaee0d; service=demo; Product=Pure:CBS; owner=gso; administrator=david_stamen; importance=low; team=fsa; env=sandbox; org=revenue"
"us-west-2","us-west-2b","gp2","100","300",,"vol-0b9fea63d3e49988b",,"/dev/sda1","True","Linux/UNIX","i-00a5516b75f1dfc9f","in-use","running","i3.2xlarge","pure:cbs:stack-id=arn:aws:cloudformation:us-west-2:783764594660:stack/gso-cbs-aws/848560a0-f496-11ef-b272-064012eaee0d; importance=low; Product=Pure:CBS; owner=gso; administrator=david_stamen; service=demo; env=sandbox; ext-facing=false; team=fsa; org=revenue"
"us-west-2","us-west-2b","gp3","300","3000","125","vol-0810bc1fb7a594346",,"/dev/sdf","False","Windows","i-09add464622bcc412","in-use","running","m7i.2xlarge","owner=worldwide_sys_eng; team=elob; importance=low; service=demo; administrator=david_stamen; Name=gso-cvdemo-cs-disk1; env=dev; ext-facing=false; org=revenue"
"us-west-2","us-west-2b","gp2","8","100",,"vol-0ee281079453cc959",,"/dev/xvda","True","Linux/UNIX","i-0be5963462180a480","in-use","running","t2.small","="
"us-west-2","us-west-2b","gp2","30","100",,"vol-0d28a880be7c1b223",,"/dev/sda1","True","Windows","i-026c14b9e49e4e171","in-use","stopped","t2.small","="
"us-west-2","us-west-2b","gp2","100","300",,"vol-002516a639ae53372",,"/dev/sda1","True","Linux/UNIX","i-0c5934fee7c388aa8","in-use","running","i3.2xlarge","pure:cbs:stack-id=arn:aws:cloudformation:us-west-2:783764594660:stack/gso-cbs-aws/848560a0-f496-11ef-b272-064012eaee0d; ext-facing=false; org=revenue; team=fsa; administrator=david_stamen; env=sandbox; owner=gso; service=demo; Product=Pure:CBS; importance=low"
"us-west-2","us-west-2b","io2","6","3000",,"vol-0fe151d1e2cf96b55",,"/dev/sdf","False","Linux/UNIX","i-0d204ecfa24d4b84b","in-use","running","i3.2xlarge","importance=low; Product=Pure:CBS; owner=gso; administrator=david_stamen; pure:cbs:stack-id=arn:aws:cloudformation:us-west-2:783764594660:stack/gso-cbs-aws/848560a0-f496-11ef-b272-064012eaee0d; service=demo; org=revenue; env=sandbox; ext-facing=false; team=fsa"
"us-west-2","us-west-2b","gp2","100","300",,"vol-00f6647c89370984d",,"/dev/sda1","True","Linux/UNIX","i-0d204ecfa24d4b84b","in-use","running","i3.2xlarge","ext-facing=false; org=revenue; service=demo; administrator=david_stamen; env=sandbox; Product=Pure:CBS; team=fsa; importance=low; owner=gso; pure:cbs:stack-id=arn:aws:cloudformation:us-west-2:783764594660:stack/gso-cbs-aws/848560a0-f496-11ef-b272-064012eaee0d"
"us-west-2","us-west-2b","gp2","30","100",,"vol-0192e0418e40b3cf2",,"/dev/sda1","True","Windows","i-073cf52c41e39f228","in-use","stopped","t2.small","="
"us-west-2","us-west-2b","gp2","8","100",,"vol-0c3f749f3c63d9110",,"/dev/xvda","True","Linux/UNIX","i-0b3fec7d28615484f","in-use","running","t2.small","="
"us-west-2","us-west-2b","io2","6","3000",,"vol-08004422694c46ed0",,"/dev/sdf","False","Linux/UNIX","i-0875315865ca66763","in-use","running","i3.2xlarge","pure:cbs:stack-id=arn:aws:cloudformation:us-west-2:783764594660:stack/gso-cbs-aws/848560a0-f496-11ef-b272-064012eaee0d; importance=low; Product=Pure:CBS; administrator=david_stamen; env=sandbox; owner=gso; service=demo; ext-facing=false; org=revenue; team=fsa"
"us-west-2","us-west-2b","gp3","8","3000","125","vol-02680fb8d92451b80",,"/dev/xvda","True","Linux/UNIX","i-05a724466a0d7a83f","in-use","stopped","t2.small","="
"us-west-2","us-west-2b","standard","1",,,"vol-0d8d568ff34223f2a",,"/dev/sda1","True","Linux/UNIX","i-0500da505779fa421","in-use","running","t3.small","="
"us-west-2","us-west-2b","gp3","8","3000","125","vol-075858b3c9295c300",,"/dev/xvda","True","Linux/UNIX","i-04660e814ceece4dc","in-use","stopped","t2.medium","="
"us-west-2","us-west-2b","io2","6","3000",,"vol-07f1f0d31875abf98",,"/dev/sdf","False","Linux/UNIX","i-0a0ea94f54a9adbca","in-use","running","i3.2xlarge","ext-facing=false; org=revenue; service=demo; pure:cbs:stack-id=arn:aws:cloudformation:us-west-2:783764594660:stack/gso-cbs-aws/848560a0-f496-11ef-b272-064012eaee0d; importance=low; owner=gso; team=fsa; administrator=david_stamen; env=sandbox; Product=Pure:CBS"
"us-west-2","us-west-2b","io2","6","3000",,"vol-0fe69ac6ce9be9ae8",,"/dev/sdf","False","Linux/UNIX","i-07f044e4efef547a5","in-use","running","i3.2xlarge","org=revenue; ext-facing=false; service=demo; team=fsa; pure:cbs:stack-id=arn:aws:cloudformation:us-west-2:783764594660:stack/gso-cbs-aws/848560a0-f496-11ef-b272-064012eaee0d; env=sandbox; owner=gso; importance=low; Product=Pure:CBS; administrator=david_stamen"
"us-west-2","us-west-2a","gp3","8","3000","125","vol-0022582acf988a85d",,"/dev/xvda","True","Linux/UNIX","i-0f3c8b540daa2d0e8","in-use","stopped","t2.micro","="
"us-west-2","us-west-2b","gp3","40","3000","125","vol-0e46d2cca7903f5a1",,"/dev/sda1","True","Windows","i-0a124596c83ce611f","in-use","running","t3.small","="
"us-west-2","us-west-2b","gp2","100","300",,"vol-06e1a149fb6217325",,"/dev/sda1","True","Linux/UNIX","i-00fb3660cf238308c","in-use","running","i3.2xlarge","team=fsa; owner=gso; pure:cbs:stack-id=arn:aws:cloudformation:us-west-2:783764594660:stack/gso-cbs-aws/848560a0-f496-11ef-b272-064012eaee0d; service=demo; ext-facing=false; administrator=david_stamen; org=revenue; Product=Pure:CBS; importance=low; env=sandbox"
"us-west-2","us-west-2b","gp3","8","3000","125","vol-086b5df2762cc363f",,"/dev/xvda","True","Linux/UNIX","i-02bf0d3e31cefdcf5","in-use","running","t3.large","="
"us-west-2","us-west-2b","gp2","100","300",,"vol-06fba04967d0b3d3b",,"/dev/sda1","True","Linux/UNIX","i-07f044e4efef547a5","in-use","running","i3.2xlarge","importance=low; owner=gso; team=fsa; pure:cbs:stack-id=arn:aws:cloudformation:us-west-2:783764594660:stack/gso-cbs-aws/848560a0-f496-11ef-b272-064012eaee0d; org=revenue; ext-facing=false; service=demo; administrator=david_stamen; env=sandbox; Product=Pure:CBS"
"us-west-2","us-west-2b","gp3","10","3000","125","vol-068b2bcd8b5c3db20",,"/dev/xvda","True","Linux/UNIX","i-030e8706fd244a0d6","in-use","running","t2.micro","="
"us-west-2","us-west-2b","gp3","200","3000","125","vol-0a63b965b40b21974",,"/dev/sda1","True","Windows","i-09add464622bcc412","in-use","running","m7i.2xlarge","="
"us-west-2","us-west-2b","gp2","100","300",,"vol-0fe6ffba28e0c778a",,"/dev/sda1","True","Linux/UNIX","i-0a0ea94f54a9adbca","in-use","running","i3.2xlarge","team=fsa; importance=low; env=sandbox; ext-facing=false; org=revenue; Product=Pure:CBS; administrator=david_stamen; owner=gso; service=demo; pure:cbs:stack-id=arn:aws:cloudformation:us-west-2:783764594660:stack/gso-cbs-aws/848560a0-f496-11ef-b272-064012eaee0d"
"us-west-2","us-west-2b","gp3","200","3000","125","vol-0a48a2cd84fa5f82e",,"/dev/sda1","True","Windows","i-01998a41289cfdb3d","in-use","running","m7i.4xlarge","="
"us-west-2","us-west-2b","gp2","30","100",,"vol-0fdd49e12f8d612e9",,"/dev/sda1","True","Windows","i-0ce136b09b3f4a519","in-use","running","t2.small","="
"us-west-2","us-west-2b","gp3","128","3000","125","vol-0cb549a6858fb9907",,"/dev/sda1","True","Linux/UNIX","i-0494a4be832e6a643","in-use","running","c5n.9xlarge","ext-facing=false; pure:cbs:stack-id=arn:aws:cloudformation:us-west-2:783764594660:stack/gso-cbs-aws/848560a0-f496-11ef-b272-064012eaee0d; service=demo; administrator=david_stamen; Product=Pure:CBS; importance=low; owner=gso; team=fsa; env=sandbox; org=revenue"
"us-west-2","us-west-2b","io2","6","3000",,"vol-0e88d108ecb15cfd0",,"/dev/sdf","False","Linux/UNIX","i-00a5516b75f1dfc9f","in-use","running","i3.2xlarge","pure:cbs:stack-id=arn:aws:cloudformation:us-west-2:783764594660:stack/gso-cbs-aws/848560a0-f496-11ef-b272-064012eaee0d; Product=Pure:CBS; importance=low; administrator=david_stamen; env=sandbox; owner=gso; service=demo; ext-facing=false; org=revenue; team=fsa"
"us-west-2","us-west-2b","gp3","128","3000","125","vol-0ceb2697417aff434",,"/dev/sda1","True","Linux/UNIX","i-0060e8087d64e2421","in-use","running","c5n.9xlarge","owner=gso; administrator=david_stamen; importance=low; env=sandbox; ext-facing=false; team=fsa; Product=Pure:CBS; org=revenue; pure:cbs:stack-id=arn:aws:cloudformation:us-west-2:783764594660:stack/gso-cbs-aws/848560a0-f496-11ef-b272-064012eaee0d; service=demo"
"us-west-2","us-west-2b","gp2","30","100",,"vol-06dbabe2b7a2086b8",,"/dev/sda1","True","Windows","i-0e498833bb16eeca4","in-use","running","t2.small","="
"us-west-2","us-west-2a","gp2","50","150",,"vol-0a3f716c1fe92105a",,"/dev/sda1","True","Windows","i-08f987332e93cbe4b","in-use","stopped","t2.medium","="
"us-west-2","us-west-2b","gp2","100","300",,"vol-05b31cb7df6f1222d",,"/dev/sda1","True","Linux/UNIX","i-0875315865ca66763","in-use","running","i3.2xlarge","pure:cbs:stack-id=arn:aws:cloudformation:us-west-2:783764594660:stack/gso-cbs-aws/848560a0-f496-11ef-b272-064012eaee0d; team=fsa; Product=Pure:CBS; owner=gso; env=sandbox; administrator=david_stamen; importance=low; org=revenue; ext-facing=false; service=demo"
"us-west-2","us-west-2a","gp3","30","3000","125","vol-014042f232c179c66",,"/dev/sda1","True","Linux/UNIX","i-0d269d32d9bae21f3","in-use","running","m6i.xlarge","Name=pure-draas-05875437-2c47-486a-87f0-340137e9aca2-CloudManager-Worker-0; aws:cloudformation:stack-id=arn:aws:cloudformation:us-west-2:783764594660:stack/PureProtectDRaaS-SiteResourcesStack-12D7VURV4V2EF/0bf47900-7885-11f0-8182-0600340223f1; ext-facing=false; org=revenue; pure-protect-draas-provider-id=05875437-2c47-486a-87f0-340137e9aca2; aws:cloudformation:logical-id=CloudManagerInstance; owner=GSO; importance=low; pure-protect-draas-node-id=31c40461-64b1-4dd6-8ff6-5425f50125fc; env=sandbox; administrator=Chad Monteith - cmonteith; pure-protect-draas-cluster-id=c33303c51940e44b99adbc7b93567736e; aws:cloudformation:stack-name=PureProtectDRaaS-SiteResourcesStack-12D7VURV4V2EF; service=demo; team=FSA"
